date	total_cases	total_deaths	total_recovered	total_tests_negatives	total_tests	total_imported%	total_imported_contact%	total_comunitary%	total_under_analysis%	new_cases	new_deaths	CABA	Buenos Aires	Chaco	Córdoba	Corrientes	Entre Ríos	Jujuy	La Pampa	Mendoza	Misiones	Neuquén	Río Negro	Salta	San Luis	Santa Cruz	Santa Fe	Santiago del Estero	Tierra del Fuego	San Juan	La Rioja	Tucumán	
3/5/2020	1	0	0			0.00	0.00			1	0	1																					1
3/6/2020	2	0	0			1.00	0.00		0.00	1	0	1																					1
3/7/2020	9	0	0			1.00	0.00		0.00	7	0																						0
3/8/2020	12	0	0			1.00	0.00		0.00	3	0	2	1																				3
3/9/2020	17	1	0			1.00	0.00		0.00	5	1	1		2									1		1								5
3/10/2020	19	1	0			1.00	0.00		0.00	2	0	1	1																				2
3/11/2020	21	1	0			1.00	0.00		0.00	2	0	1	1																				2
3/12/2020	31	1	0			0.90	0.10		0.00	10	0	2	4	2	2																		10
3/13/2020	34	2	0			0.88	0.12		0.00	3	1	2	1																				3
3/14/2020	45	2	0			0.89	0.11		0.00	11	0	7	2	1													1						11
3/15/2020	56	2	0			0.86	0.14		0.00	11	0	6	1	2															2				11
3/16/2020	64	2	0	465.00	529.00	0.88	0.14		0.00	9	0	5	1	3																			9
3/17/2020	78	2	0	496.00	574.00	0.87	0.14		0.00	14	0	4	2	1	2		1	1					1	1		1							14
3/18/2020	97	2	18	562.00	659.00	0.84	0.16		0.00	19	2	10	6	1	1								1										19
3/19/2020	128	3	23	705.00	833.00	0.79	0.16		0.05	31	1	8	15	2									1				1					1	28
3/20/2020	158	3	31	872.00	1030.00	0.78	0.16		0.06	30	0	9	9	1	5	1	1					2						1	1				30
3/21/2020	225	4	27	1028.00	1253.00	0.75	0.16		0.09	67	1	29	15	5	4	2				5			1				2		3			1	67
3/22/2020	266	4	51	1271.00	1537.00	0.70	0.18		0.12	41	0	12	8	7	8						1											5	41
3/23/2020	302	4	52	1453.00	1754.00	0.67	0.18		0.15	36	0	11	5	4	3												13						36
3/24/2020	388	6	63	1453.00	1838.00	0.63	0.19		0.18	86	2	30	30	9	7				1			1				1	3		4				86
3/25/2020	505	8	72	1946.00	2448.00	0.49	0.18		0.33	117	2	21	30	12	15	3				1		1			4	5	22		1			2	117
3/26/2020	592	12	75	2258.00	2847.00	0.48	0.19		0.33	87	4	30	27	3	3			2		1		3			0	2	12		3				86
3/27/2020	693	17	80	2817.00	3507.00	0.56	0.24		0.20	101	5	43	36	3	3	2	3			1	1	4	3				9	1				6	115
3/28/2020	748	19	91	3215.00	3960.00	0.55	0.25		0.20	55	2	18	8	5	1	4				1		2					13		4				56
3/29/2020	823	20	228	3580.00	4400.00	0.54	0.25		0.21	75	1	16	13	4	18	1			2	1	1						13		4	1	1		75
3/30/2020	969	24	240	4065.00	5031.00	0.56				146	4	34	36	12	8	10	3			3		8					21		11				146
3/31/2020	1054	27	248	4597.00	5651.00	0.50	0.28		0.22	88	3	19	17	3	14	1				2	1		1				22		7			1	88
4/1/2020	1133	34	256	5144.00	6277.00	0.51	0.30		0.19	79	7	10	10	12	6	1	1			10		4		2	1	10	11					1	79
4/2/2020	1265	37	266	6120.00	7385.00	0.49	0.31		0.20	132	3	24	36	3	16	1	2	2				4			2	2	8	1	24		3	4	132
4/3/2020	1353	42	279	7135.00	8488.00	0.48	0.32	0.08	0.12	88	5	28	22	8	14		2			2		1	1		1		8		1				88
4/4/2020	1451	44	280	7888.00	9339.00	0.46	0.34	0.08	0.12	98	2	34	26	8	3							4	5			1	5	0	8		2	1	97
4/5/2020	1554	48	325	8508.00	10062.00	0.45	0.35	0.10	0.10	103	4	32	33		5		1			2		11	2			1	11		3		2		103
4/6/2020	1628	54	338	9156.00	10784.00	0.44	0.35	0.11	0.10	74	6	17	12	4	7	2				1		6	2		1		8	6	2		1	5	74
4/7/2020	1715	60	358	10438.00	12153.00	0.43	0.34	0.12	0.11	87	6	24	34	4	4		1			2		3	2			8	3		2			1	88
4/8/2020	1795	69	365	11835.00	13630.00	0.43	0.34	0.12	0.11	80	9	18	17	15	1				1	6	0	17	1				2		2				80
4/9/2020	1894	79	375	12983.00	14877.00	0.41	0.34	0.14	0.11	99	10	23	28	6	5		2			2		7	13				7				5	1	99
4/10/2020	1975	93	440	14150.00	16125.00	0.40	0.34	0.15	0.11	81	14	11	19	5	13				1	9		7	7			6	1		2				81
