file,total_infectados,total_fallecidos,total_recuperados,total_casos_nuevos,total_importados,total_contacto,total_comunitario,total_descartados,Buenos Aires,Ciudad de Buenos Aires,Catamarca,Chaco,Chubut,Córdoba,Corrientes,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucumán,date
01-04-20_reporte_matutino_covid_19.pdf,1054,27,248,88,0.502,0.28,0,0,17,19,0,3,0,14,1,0,0,0,0,0,2,1,0,1,0,0,0,0,22,0,7,1,2020-03-31
02-04-20_reporte-matutino_covid-19.pdf,1133,34,256,79,0.512,0.308,0,0,10,10,0,12,0,6,1,1,0,0,0,0,10,0,4,0,2,0,1,10,11,0,0,1,2020-04-01
03-04-20_reporte_matutino_covid_19_0.pdf,1265,37,266,132,0.49200000000000005,0.314,0.0814,0,36,24,0,3,0,16,1,2,0,2,0,3,0,0,4,0,0,0,2,2,8,1,24,4,2020-04-02
04-04-20_reporte-matutino_covid-19.pdf,1353,42,279,88,0.485,0.32799999999999996,0.084,0,22,28,0,8,0,14,0,2,0,0,0,0,2,0,1,1,0,0,1,0,8,0,1,0,2020-04-03
05-04-20-reporte-matutino-covid-19.pdf,1451,44,280,98,0.46399999999999997,0.337,0.08199999999999999,7888,26,34,0,8,0,3,0,0,0,0,0,2,0,0,4,5,0,0,0,1,5,1,8,1,2020-04-04
06-04-20-reporte-matutino-covid-19.pdf,1554,48,325,103,0.447,0.345,0.095,8508,33,32,0,0,0,5,0,1,0,0,0,2,2,0,11,2,0,0,0,1,11,0,3,0,2020-04-05
07-04-20-reporte-matutino-covid-19.pdf,1628,54,338,74,0.441,0.34600000000000003,0.107,9165,12,17,0,4,0,7,2,0,0,0,0,1,1,0,6,2,0,0,1,0,8,6,2,5,2020-04-06
08-04-20-reporte-matutino-covid-19.pdf,1715,60,358,87,0.43,0.34,0.12,10438,34,24,0,4,0,4,0,1,0,0,0,0,2,0,3,2,0,0,0,8,3,-1,2,1,2020-04-07
09-04-20-reporte-matutino-covid-19.pdf,1795,69,365,80,0.43,0.34,0.12,11835,17,18,0,15,0,1,0,0,0,0,1,0,6,0,17,1,0,0,0,0,2,0,2,0,2020-04-08
10-04-20_reporte-matutino-covid-19_0.pdf,1894,79,375,99,0.41,0.34,0.14,12983,28,23,0,6,0,5,0,2,0,0,0,5,2,0,7,13,0,0,0,0,7,0,0,1,2020-04-09
11-04-20-reporte-matutino-covid-19.pdf,1975,83,440,81,0.4,0.34,0.147,14150,19,11,0,5,0,13,0,0,0,0,1,0,9,0,7,7,0,0,0,6,1,0,2,0,2020-04-10
12-04-20_reporte_matutino_covid_19.pdf,2142,90,468,167,0.38,0.33,0.14,15480,37,46,0,0,0,32,0,0,0,0,0,4,5,0,1,23,0,1,0,3,3,3,8,1,2020-04-11
13-04-20_reporte_matutino_covid_19.pdf,2208,95,515,66,0.373,0.348,0.14400000000000002,16416,28,8,0,1,0,5,0,-1,0,0,0,1,3,0,1,13,0,0,0,0,3,0,4,0,2020-04-12
14-04-20_reporte_matutino_covid_19.pdf,2277,101,559,69,0.365,0.348,0.156,17724,29,10,0,3,0,4,7,0,0,0,0,3,2,0,2,3,0,0,0,0,2,0,4,0,2020-04-13
15-04-20_reporte-matutino-covid-19.pdf,2443,109,596,166,0.34299999999999997,0.35200000000000004,0.152,18901,66,22,0,31,0,12,1,0,0,0,0,6,3,0,2,13,0,0,0,0,2,0,8,0,2020-04-14
16-04-20_reporte_matutino_covid_19.pdf,2571,115,631,128,0.32799999999999996,0.353,0.166,20645,62,30,0,7,1,6,-1,0,0,0,0,3,1,0,1,12,1,0,0,0,2,0,3,0,2020-04-15
17-04-20-reporte-matutino-covid-19_0.pdf,2669,122,666,98,0.318,0.358,0.168,22310,30,15,0,11,1,13,0,1,0,0,0,3,5,0,1,9,-1,0,0,0,3,0,7,0,2020-04-16
18-04-20_reporte-matutino-covid-19.pdf,2758,129,685,88,0.31,0.363,0.17300000000000001,23796,34,14,0,22,-1,6,0,0,0,0,0,1,1,1,1,1,0,0,0,0,6,0,2,0,2020-04-17
19-04-20_reporte_matutino_covid_19.pdf,2839,132,709,81,0.302,0.41700000000000004,0.175,25259,31,14,0,24,0,2,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,2020-04-18
20-04-20_reporte_matutino_covid_19.pdf,2941,136,737,102,0.292,0.42,0.183,26658,48,15,0,5,1,11,0,0,0,0,0,4,3,0,3,8,0,0,0,0,1,0,3,0,2020-04-19
